Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,Projection
TE,Isaiah Likely (28793303),Isaiah Likely,28793303,TE/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,BAL,5.9
WR,Adam Humphries (29001056),Adam Humphries,29001056,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0
WR,Victor Bolden (29001058),Victor Bolden,29001058,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0
WR,Marquise Goodwin (28793141),Marquise Goodwin,28793141,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CLE,1.9
WR,David Bell (28793143),David Bell,28793143,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0
WR,Jaelon Darden (28793145),Jaelon Darden,28793145,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0
WR,Jakeem Grant Sr. (28793147),Jakeem Grant Sr.,28793147,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0
WR,Anthony Schwartz (28793149),Anthony Schwartz,28793149,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0
WR,Daylen Baldwin (28793151),Daylen Baldwin,28793151,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0
WR,Mike Harley Jr. (28793153),Mike Harley Jr.,28793153,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0
WR,Austin Watkins Jr. (28793157),Austin Watkins Jr.,28793157,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0
WR,Michael Woods II (28793159),Michael Woods II,28793159,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0
WR,Charlie Jones (28793161),Charlie Jones,28793161,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CIN,1.4
WR,Trenton Irwin (28793163),Trenton Irwin,28793163,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CIN,2.5
WR,Andrei Iosivas (28793165),Andrei Iosivas,28793165,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0
WR,Stanley Morgan (28793169),Stanley Morgan,28793169,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0
WR,Kwamie Lassiter II (28793171),Kwamie Lassiter II,28793171,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0
WR,Malachi Carter (28793173),Malachi Carter,28793173,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0
WR,Mac Hippenhammer (28793175),Mac Hippenhammer,28793175,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0
WR,Shedrick Jackson (28793177),Shedrick Jackson,28793177,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0
